"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 21:21:41 GMT 2022","Tue Dec 20 21:21:43 GMT 2022","2073","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Dec 20 21:21:28 GMT 2022","Tue Dec 20 21:21:33 GMT 2022","4329","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Tue Dec 20 21:21:35 GMT 2022","Tue Dec 20 21:21:35 GMT 2022","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Dec 20 21:21:35 GMT 2022","Tue Dec 20 21:21:39 GMT 2022","4106","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Dec 20 21:21:39 GMT 2022","Tue Dec 20 21:21:41 GMT 2022","2407","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Dec 20 21:21:35 GMT 2022","Tue Dec 20 21:21:35 GMT 2022","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Dec 20 21:21:33 GMT 2022","Tue Dec 20 21:21:35 GMT 2022","1928","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
